"time","v0","v1","sensor_name","context"
90993053081911,-0.22984314,0.009567261,"acc","SidePocket"
90992676006716,-0.22984314,0.009567261,"acc","SidePocket"
90993313549441,-0.1819458,0.07661438,"acc","SidePocket"
90994230022829,-0.24420166,0.08618164,"acc","SidePocket"
90994612682741,-0.12927246,0.028717041,"acc","SidePocket"
90994975811404,-0.2106781,0.009567261,"acc","SidePocket"
90996246776980,-0.16279602,-0.0335083,"acc","SidePocket"
90992429211062,-0.43572998,-0.0335083,"acc","SidePocket"
90995883648318,-0.17237854,-0.01914978,"acc","SidePocket"
90992182384890,0.30645752,-0.03829956,"acc","SidePocket"
90993542675417,-0.16279602,0.06703186,"acc","SidePocket"
90993771801394,-0.21546936,0.02394104,"acc","SidePocket"
90992058086794,-0.77571106,-0.07661438,"acc","SidePocket"
90995157390993,-0.33517456,0,"acc","SidePocket"
90996476147097,-0.2106781,0.04309082,"acc","SidePocket"
90995338940066,-0.23461914,0.0143585205,"acc","SidePocket"
90995520519655,-0.2394104,0.07661438,"acc","SidePocket"
90994000896853,-0.21546936,-0.0335083,"acc","SidePocket"
90992922832888,-0.028717041,0.028717041,"acc","SidePocket"
90994794262331,-0.15800476,0.07661438,"acc","SidePocket"
90994421368044,-0.22505188,-0.009567261,"acc","SidePocket"
90996065227907,-0.22984314,0.04309082,"acc","SidePocket"
90993183300417,-0.25856018,-0.04788208,"acc","SidePocket"
90995702068728,-0.16758728,-0.0622406,"acc","SidePocket"